NoText_reg,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
-0.085283049,0.093066901,0.094623641,0.092567634,0.094142947,0.076205502,0.078170667,0.097534417,0.105678552,0.102224727
-0.085283049,0.093123589,0.094654124,0.092587226,0.094221598,0.07623337,0.078177648,0.097606165,0.105864129,0.102229084
-0.085283049,0.093133023,0.094752305,0.092587679,0.094254708,0.076292205,0.078178807,0.097641886,0.105915153,0.102277788
-0.085196441,0.093195706,0.094773997,0.092731867,0.094273772,0.076292311,0.078283939,0.097709364,0.105950229,0.102280782
-0.085196441,0.093246308,0.094777706,0.092763117,0.094315411,0.076336885,0.078325462,0.097841284,0.106008549,0.102295754
-0.085196441,0.093253261,0.094779663,0.092823535,0.094350403,0.076378438,0.078337487,0.09824307,0.106019511,0.10230497
-0.085196441,0.093255519,0.094823618,0.092829545,0.09436586,0.076413064,0.078365026,0.098278535,0.106035811,0.102365664
-0.085196441,0.093276441,0.094826386,0.092835229,0.094458855,0.076424781,0.078409769,0.098303141,0.106112763,0.102367706
-0.085196441,0.093299584,0.094870255,0.092835752,0.09449581,0.076466352,0.078412075,0.098376121,0.106193557,0.102421744
-0.085196441,0.093391891,0.094901222,0.092862911,0.094560704,0.076467098,0.078456105,0.098386728,0.106267881,0.102456099
-0.085196441,0.093409966,0.094910014,0.092883637,0.09467423,0.076592168,0.078473326,0.098404347,0.106286981,0.102473014
-0.085196441,0.093469402,0.094982856,0.092899701,0.094683274,0.07659546,0.078521138,0.098497955,0.106329,0.102489682
-0.085196441,0.09347087,0.094988734,0.09293176,0.094685332,0.076598428,0.078559929,0.098515183,0.106337099,0.102530991
-0.085140539,0.093511041,0.095029886,0.092992371,0.094723388,0.076607512,0.078566311,0.098519751,0.10636946,0.102573074
